"rules","support","confidence","coverage","lift","count"
"{} => {패턴/스트라이프니트}",0.000100270730973629,0.000100270730973629,1,1,7
"{} => {진주}",0.000143243901390898,0.000143243901390898,1,1,10
"{} => {비비크림}",0.000157568291529988,0.000157568291529988,1,1,11
"{} => {파운데이션}",0.000186217071808168,0.000186217071808168,1,1,13
"{} => {기내용 캐리어}",0.000415407314033605,0.000415407314033605,1,1,29
"{} => {크림(영양/탄력/리프팅)}",0.000472704874589964,0.000472704874589964,1,1,33
"{} => {스포츠/등산양말}",0.000472704874589964,0.000472704874589964,1,1,33
"{} => {보정브라/팬티}",0.000530002435146324,0.000530002435146324,1,1,37
"{} => {증모제/모발건강}",0.000558651215424503,0.000558651215424503,1,1,39
"{} => {노와이어 브라팬티세트}",0.000630273166119952,0.000630273166119952,1,1,44
"{} => {파우더/팩트/트윈케익}",0.000644597556259042,0.000644597556259042,1,1,45
"{} => {남성세트}",0.000716219506954491,0.000716219506954491,1,1,50
"{} => {여성내복(세트)}",0.000744868287232671,0.000744868287232671,1,1,52
"{} => {기능성웨어}",0.000873787798484479,0.000873787798484479,1,1,61
"{} => {붙임머리}",0.000916760968901749,0.000916760968901749,1,1,64
"{} => {에센스/세럼/엠플}",0.00110297804070992,0.00110297804070992,1,1,77
"{} => {레깅스세트}",0.00117459999140537,0.00117459999140537,1,1,82
"{} => {카라}",0.0011316268209881,0.0011316268209881,1,1,79
"{} => {남성내복(세트)}",0.00118892438154446,0.00118892438154446,1,1,83
"{} => {면/치노팬츠}",0.00144676340404807,0.00144676340404807,1,1,101
"{} => {선크림}",0.00141811462376989,0.00141811462376989,1,1,99
"{} => {여행용/스포츠가방}",0.00150406096460443,0.00150406096460443,1,1,105
"{} => {로션/에멀전}",0.00180487315752532,0.00180487315752532,1,1,126
"{} => {로퍼/플랫슈즈}",0.00181919754766441,0.00181919754766441,1,1,127
"{} => {바디클렌저}",0.00207703657016803,0.00207703657016803,1,1,145
"{} => {경등산화(트레킹화)}",0.00252109266447981,0.00252109266447981,1,1,176
"{} => {거들팬티}",0.00276460729684434,0.00276460729684434,1,1,193
"{} => {젤폴리쉬}",0.00287920241795706,0.00287920241795706,1,1,201
"{} => {패션가발}",0.00299379753906977,0.00299379753906977,1,1,209
"{} => {집업/후드가디건}",0.0030940682700434,0.0030940682700434,1,1,216
"{} => {헤어젤/스프레이}",0.00325163656157339,0.00325163656157339,1,1,227
"{} => {레깅스/제깅스팬츠}",0.00355244875449428,0.00355244875449428,1,1,248
"{} => {팩/마스크}",0.00425434387130968,0.00425434387130968,1,1,297
"{} => {라운드넥티셔츠}",0.00544326825285413,0.00544326825285413,1,1,380
"{} => {피부&바디마사지/관리기}",0.00590164873730501,0.00590164873730501,1,1,412
"{} => {야상/데님베스트}",0.00611651458939136,0.00611651458939136,1,1,427
"{} => {니트/가디건셋트}",0.00848003896234118,0.00848003896234118,1,1,592
"{} => {기모팬츠}",0.0103422096804229,0.0103422096804229,1,1,722
"{} => {골프팬츠}",0.0118176218647491,0.0118176218647491,1,1,825
"{} => {고데기/아이론}",0.0155133145206343,0.0155133145206343,1,1,1083
"{} => {샌들/슬리퍼}",0.0169314291444042,0.0169314291444042,1,1,1182
"{} => {아이라이너/브로우}",0.0193092779074931,0.0193092779074931,1,1,1348
"{} => {효도/컴포트화}",0.0226038876394838,0.0226038876394838,1,1,1578
"{} => {스판팬츠}",0.0235922705590809,0.0235922705590809,1,1,1647
"{} => {염색/새치커버}",0.0237784876308891,0.0237784876308891,1,1,1660
"{} => {여성용시계}",0.000186217071808168,0.000186217071808168,1,1,13
"{} => {러닝화}",0.000257839022503617,0.000257839022503617,1,1,18
"{} => {런닝}",0.000701895116815402,0.000701895116815402,1,1,49
"{} => {숄더백}",0.00143243901390898,0.00143243901390898,1,1,100
"{} => {쟈켓/점퍼/바람막이}",0.00159000730543897,0.00159000730543897,1,1,111
"{} => {롱/앵클부츠/부티}",0.0317428485482231,0.0317428485482231,1,1,2216
"{} => {토트백}",0.006059217028835,0.006059217028835,1,1,423
"{} => {정장화}",0.0367134119264872,0.0367134119264872,1,1,2563
"{} => {팬티}",0.0123762730801736,0.0123762730801736,1,1,864
"{} => {샴푸}",0.0454656143014711,0.0454656143014711,1,1,3174
"{} => {라운드넥}",0.0165016974402315,0.0165016974402315,1,1,1152
"{} => {기타}",0.0330463680508802,0.0330463680508802,1,1,2307
"{} => {립스틱/립글로스/립틴트}",0.0736989872656172,0.0736989872656172,1,1,5145
"{} => {선글라스}",0.0794860408818095,0.0794860408818095,1,1,5549
"{} => {등산화}",0.0810903725773875,0.0810903725773875,1,1,5661
"{} => {반팔}",0.158785864691811,0.158785864691811,1,1,11085
"{} => {바지}",0.208004469209723,0.208004469209723,1,1,14521
"{라운드넥티셔츠} => {라운드넥}",0.000171892681669078,0.0315789473684211,0.00544326825285413,1.91367872807018,12
"{라운드넥} => {라운드넥티셔츠}",0.000171892681669078,0.0104166666666667,0.0165016974402315,1.91367872807018,12
"{정장화} => {바지}",0.000100270730973629,0.00273117440499415,0.0367134119264872,0.0131303640511705,7
"{바지} => {정장화}",0.000100270730973629,0.000482060464155361,0.208004469209723,0.0131303640511705,7
"{기타} => {반팔}",0.000100270730973629,0.00303424360641526,0.0330463680508802,0.0191090284535368,7
"{반팔} => {기타}",0.000100270730973629,0.00063148398737032,0.158785864691811,0.0191090284535368,7
"{기타} => {바지}",0.000114595121112719,0.00346770697876029,0.0330463680508802,0.0166713099575949,8
"{바지} => {기타}",0.000114595121112719,0.000550926244748984,0.208004469209723,0.0166713099575949,8
"{선글라스} => {반팔}",0.000128919511251808,0.00162191385835286,0.0794860408818095,0.0102144725634164,9
"{반팔} => {선글라스}",0.000128919511251808,0.00081190798376184,0.158785864691811,0.0102144725634164,9
"{등산화} => {반팔}",0.000229190242225437,0.00282635576753224,0.0810903725773875,0.0177997945410188,16
"{반팔} => {등산화}",0.000229190242225437,0.00144339197113216,0.158785864691811,0.0177997945410188,16
"{등산화} => {바지}",0.000229190242225437,0.00282635576753224,0.0810903725773875,0.0135879569235723,16
"{바지} => {등산화}",0.000229190242225437,0.00110185248949797,0.208004469209723,0.0135879569235723,16
"{반팔} => {바지}",0.000959734139319019,0.00604420387911592,0.158785864691811,0.0290580481375223,67
"{바지} => {반팔}",0.000959734139319019,0.00461400729977274,0.208004469209723,0.0290580481375223,67
